campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
Référence du contrat|BT-12|REFERENCE DU DOCUMENT||0..1|BR-FR-CO-03 : Codestypes documents@@@@@@Si le codetype de la facture (BT-3) est égal à 262 (Avoir Remise Globale), alors :@@@- Le numéro de contrat (BT-12) DOIT être présent@@@- La période de facturation (BG-14) DOIT être présente	BR-FR-MAP-02 : Codestypes documents@@@@@@Si le codetype de la facture (BT-3) est égal à 262 (Avoir pour Remise Globale), alors :@@@Pour le flux 1 :@@@- le codetype de la facture (BT-3 = 262) DOIT être mappé en 381 dans le flux 1 (BT-3)@@@- la référence de Contrat (BT-12) de la facture doit être mappée dans la Référence à une facture antérieure (BT-25) du Flux 1, et la Date de début de période de facturation (BT-73)  DOIT être mappée dans la Date de facture antérieure (BT-26).@@@@@@Pour le flux 10.1 :@@@- le codetype de la facture (BT-3 = 262) DOIT être mappé en 381 dans le flux 10.1 (TT-21)@@@- la référence de Contrat (BT-12) de la facture DOIT être mappée dans la Référence à une facture antérieure (TT-30) et la Date de début de période de facturation (BT-73)  DOIT être mappée dans la Date de facture antérieure (TT-31)|<Référence du contrat>|
Type de contrat|EXT-FR-FE-01|TEXTE||0..1||<Référence du contrat> <Type de contrat>|
Référence du bon de commande|BT-13|REFERENCE DU DOCUMENT||0..1||<Référence du bon de commande>|
Numéro d’ordre de vente|BT-14|REFERENCE DU DOCUMENT||0..1||<Numéro d’ordre de vente>|
Référence d'avis de réception|BT-15|REFERENCE DU DOCUMENT||0..1||<Référence d'avis de réception>|
Référence d'avis d'expédition|BT-16|REFERENCE DU DOCUMENT||0..1||<Référence d'avis d'expédition>|
Référence de l'appel d'offres ou du lot|BT-17|REFERENCE DU DOCUMENT||0..1||<Référence de l'appel d'offres ou du lot>|
Identifiant d'objet facturé|BT-18|IDENTIFIANT||0..1||<Identifiant d'objet facturé>|
Identifiant du schéma|BT-18-1|IDENTIFIANT|X|1..1||<Identifiant d'objet facturé> <Identifiant du schéma>|
Référence comptable de l'acheteur|BT-19|TEXTE||0..1||<Référence comptable de l'acheteur>|
Conditions de paiement|BT-20|TEXTE||0..1||<Conditions de paiement>|
NOTE DE FACTURE|BG-1|||0..n|BR-FR-05 : Note@@@@@@Toute facture DOIT comporter au moins 3 notes (BG-1) avec les codes suivants :@@@- BT-21 = PMT, pour la mention de pénalité de 40 EUROS forfaitaire pour frais de recouvrement (en BT-22)@@@- BT-21 = PMD, Mention de pénalités qui correspond aux conditions de paiement propres à chaque entreprise (en BT-22).@@@- BT21 = AAB, mention d'escompte ou d'absence d'escompte (en BT-22)	BR-FR-06 : Note@@@@@@Parmi les notes (BG-3), les codes sujets (BT-21) PMD, PMT, AAB et TXD ne DOIVENT être présents qu'UNE SEULE FOIS CHACUN	BR-FR-20 : Qualification du type de traitement attendu@@@@@@Qualification du traitement attendu : Il est possible d'utiliser une Note pour indiquer quel traitement est attendu sur la facture. Le code sujet DOIT être BAR et les valeurs attendues, pour être signifiantes, DOIVENT être dans la liste ci-dessous, avec leurs significations :@@@. B2B : signifie "relève du e-invoicing"@@@. B2BINT : signifie "relève du e-reporting des ventes B2Bint"@@@. B2C : signifie "relève du e-reporting B2C Ventes"@@@. OUTOFSCOPE : signifie "hors réforme"@@@. ARCHIVEONLY : signifie qu'il s'agit d'un AVOIR interne créé pour annuler une facture REJETÉE ou REFUSÉE, et NE DOIT PAS faire l'objet d'un traitement e-invoicing (pas de flux 1, pas de transmission au destinataire)	BR-FR-MAP-04 : Note mapping@@@@@@Seules les notes (BG-3) avec les codes sujets (BT-21) égaux à PMT, PMD, AAB et TXD DOIVENT être transmises dans le Flux 1 ou le flux 10.1 (TT-26 = BT-21, TT-27 = BT-22).@@@@@@Les notes avec d’autres codes sujet peuvent être transmises, ou pas en flux 10 ou 10.1|<NOTE DE FACTURE>|
Code du sujet de la note de facture|BT-21|CODE||0..1|BR-FR-05 : Note@@@@@@Toute facture DOIT comporter au moins 3 notes (BG-1) avec les codes suivants :@@@- BT-21 = PMT, pour la mention de pénalité de 40 EUROS forfaitaire pour frais de recouvrement (en BT-22)@@@- BT-21 = PMD, Mention de pénalités qui correspond aux conditions de paiement propres à chaque entreprise (en BT-22).@@@- BT21 = AAB, mention d'escompte ou d'absence d'escompte (en BT-22)	BR-FR-06 : Note@@@@@@Parmi les notes (BG-3), les codes sujets (BT-21) PMD, PMT, AAB et TXD ne DOIVENT être présents qu'UNE SEULE FOIS CHACUN	BR-FR-20 : Qualification du type de traitement attendu@@@@@@Qualification du traitement attendu : Il est possible d'utiliser une Note pour indiquer quel traitement est attendu sur la facture. Le code sujet DOIT être BAR et les valeurs attendues, pour être signifiantes, DOIVENT être dans la liste ci-dessous, avec leurs significations :@@@. B2B : signifie "relève du e-invoicing"@@@. B2BINT : signifie "relève du e-reporting des ventes B2Bint"@@@. B2C : signifie "relève du e-reporting B2C Ventes"@@@. OUTOFSCOPE : signifie "hors réforme"@@@. ARCHIVEONLY : signifie qu'il s'agit d'un AVOIR interne créé pour annuler une facture REJETÉE ou REFUSÉE, et NE DOIT PAS faire l'objet d'un traitement e-invoicing (pas de flux 1, pas de transmission au destinataire)	BR-FR-MAP-04 : Note mapping@@@@@@Seules les notes (BG-3) avec les codes sujets (BT-21) égaux à PMT, PMD, AAB et TXD DOIVENT être transmises dans le Flux 1 ou le flux 10.1 (TT-26 = BT-21, TT-27 = BT-22).@@@@@@Les notes avec d’autres codes sujet peuvent être transmises, ou pas en flux 10 ou 10.1|<NOTE DE FACTURE> <Code du sujet de la note de facture>|3
Note de facture|BT-22|TEXTE|X|1..1|BR-FR-05 : Note@@@@@@Toute facture DOIT comporter au moins 3 notes (BG-1) avec les codes suivants :@@@- BT-21 = PMT, pour la mention de pénalité de 40 EUROS forfaitaire pour frais de recouvrement (en BT-22)@@@- BT-21 = PMD, Mention de pénalités qui correspond aux conditions de paiement propres à chaque entreprise (en BT-22).@@@- BT21 = AAB, mention d'escompte ou d'absence d'escompte (en BT-22)	BR-FR-06 : Note@@@@@@Parmi les notes (BG-3), les codes sujets (BT-21) PMD, PMT, AAB et TXD ne DOIVENT être présents qu'UNE SEULE FOIS CHACUN	BR-FR-20 : Qualification du type de traitement attendu@@@@@@Qualification du traitement attendu : Il est possible d'utiliser une Note pour indiquer quel traitement est attendu sur la facture. Le code sujet DOIT être BAR et les valeurs attendues, pour être signifiantes, DOIVENT être dans la liste ci-dessous, avec leurs significations :@@@. B2B : signifie "relève du e-invoicing"@@@. B2BINT : signifie "relève du e-reporting des ventes B2Bint"@@@. B2C : signifie "relève du e-reporting B2C Ventes"@@@. OUTOFSCOPE : signifie "hors réforme"@@@. ARCHIVEONLY : signifie qu'il s'agit d'un AVOIR interne créé pour annuler une facture REJETÉE ou REFUSÉE, et NE DOIT PAS faire l'objet d'un traitement e-invoicing (pas de flux 1, pas de transmission au destinataire)	BR-FR-MAP-04 : Note mapping@@@@@@Seules les notes (BG-3) avec les codes sujets (BT-21) égaux à PMT, PMD, AAB et TXD DOIVENT être transmises dans le Flux 1 ou le flux 10.1 (TT-26 = BT-21, TT-27 = BT-22).@@@@@@Les notes avec d’autres codes sujet peuvent être transmises, ou pas en flux 10 ou 10.1|<NOTE DE FACTURE> <Note de facture>|1024
CONTROLE DU PROCESSUS|BG-2||X|1..1||<CONTROLE DU PROCESSUS>|
Type de processus métier (cadre de facturation)|BT-23|TEXTE||0..1|BR-FR-08 : Cadre de facturation@@@@@@Les valeurs autorisées pour le Cadre (Mode de Facturation) sont:@@@B1 : Dépôt d'une facture de bien@@@S1 : Dépôt d'une facture de prestation de service@@@M1 : Dépôt d'une facture double (livraison de biens et services qui ne sont pas accessoires l'une de l'autre)@@@B2 : Dépôt d'une facture de bien déjà payée@@@S2 : Dépôt d'une facture de prestation de service déjà payée@@@M2 : Dépôt d'une facture double déjà payée@@@@@@B4 : Dépôt d'une facture définitive (après acompte) de bien@@@S4 : Dépôt d'une facture définitive (après acompte) de service@@@M4 : Dépôt d'une facture définitive (après acompte) double@@@S5 : Dépôt par un sous-traitant d’une facture de prestation de service@@@S6 : Dépôt par un cotraitant d’une facture de prestation de service@@@B7 : Dépôt d'une facture de bien ayant fait l'objet d'un e-reporting (TVA déjà collectée)@@@S7 : Dépôt d'une facture de prestation de service ayant fait l'objet d'un e-reporting (TVA déjà collectée)	BR-FR-CO-08 : Cadre de facturation Facture définitive@@@@@@Si le cadre de facturation (BT-23) est :@@@- B4 : Factures définitives (après acompte) de bien@@@- S4 : Factures définitives (après acompte) de prestation de service@@@- M4 : Factures définitives (après acompte) double@@@@@@ALORS le type de facture ne peut pas être :@@@- Facture d'acompte (386)@@@- Facture d’acompte auto-facturée (500)@@@- Avoir de facture d'acompte (503)	BR-FR-CO-09 : Cadre de facturation Déjà payé@@@@@@Si le cadre de facturation (BT-23) est :@@@- B2 : Dépôt d'une facture de bien déjà payée@@@- S2 : Dépôt d'une facture de prestation de service déjà payée@@@- M2 : Dépôt d'une facture double déjà payée@@@@@@ALORS@@@- Le montant déjà payé (BT-113) est égal Montant total de la Facture avec la TVA (BT-112)@@@- le Net à payer (BT-115) est égal à 0@@@- la Date d'échéance (BT-9) DOIT indiquer la date à laquelle la facture a été payée|<CONTROLE DU PROCESSUS> <Type de processus métier (cadre de facturation)>|3
Type de profil (e-invoicing, e-reporting, facture etc..)|BT-24|IDENTIFIANT|X|1..1|BR-FR-MAP-15 : MAPPING BT-24@@@@@@Pour le flux 1, BT-24 doit être égal à :@@@urn.cpro.gouv.fr:1p0:einvoicingextract#Base pour le profil DEMARRAGE, sans les lignes@@@urn.cpro.gouv.fr:1p0:einvoicingextract#Full pour le profil complet (CIBLE)|<CONTROLE DU PROCESSUS> <Type de profil (e-invoicing, e-reporting, facture etc..)>|255
RÉFÉRENCE À UNE FACTURE ANTÉRIEURE|BG-3|||0..n|BR-FR-CO-03 : Codestypes documents@@@@@@Si le codetype de la facture (BT-3) est égal à 262 (Avoir Remise Globale), alors :@@@- Le numéro de contrat (BT-12) DOIT être présent@@@- La période de facturation (BG-14) DOIT être présente	BR-FR-CO-04 : Codestypes documents@@@@@@Si le codetype de la facture (BT-3) est dans la liste suivante :@@@@@@Factures rectificatives :@@@- Facture rectificative (384)@@@- Facture rectificative auto-facturée (471) (*)@@@- Facture rectificative affacturée (472) (*)@@@- Facture rectificative auto-facturée affacturée (473)  (*)@@@@@@Alors UNE ET UNE SEULE Référence à une facture antérieure (BT-25) DOIT être présente, ainsi que sa Date (BT-26)	BR-FR-CO-05 : Codestypes documents@@@@@@Si le codetype de la facture (BT-3) est dans la liste suivante :@@@@@@Avoirs :@@@- Avoir auto-facturé (261)@@@- Avoir (381)@@@- Avoir affacturé (396)@@@- Avoir auto-facturé affacturé (502) (*)@@@- Avoir de facture d'acompte (503) (*)@@@@@@Alors AU MOINS une Référence à une facture antérieure (BT-25) DOIT être présente ainsi que sa Date (BT-26) OU BIEN une Référence à une facture antérieure en ligne (EXT-FR-FE-136) DOIT être présente DANS CHAQUE ligne (BG-25), ainsi que sa date (EXT-FR-FE-138)|<RÉFÉRENCE À UNE FACTURE ANTÉRIEURE>|
Référence à une facture antérieure|BT-25|REFERENCE DU DOCUMENT|X|1..1|BR-FR-01 : ID de facture 35 Caractères@@@@@@L'identifiant de facture DOIT ÊTRE limité à 35 caractères	BR-FR-02 : ID de facture caractères autorisés@@@@@@L'Identifiant de facture (BT-1) est composé de caractères alphanumériques (A-Z, a-z, 0-9). Les caractères spéciaux suivants sont autorisés :@@@- tiret ("-")@@@- signe "+"@@@- tiret bas (underscore : "_")@@@- barre oblique (slash : "/")	BR-FR-CO-03 : Codestypes documents@@@@@@Si le codetype de la facture (BT-3) est égal à 262 (Avoir Remise Globale), alors :@@@- Le numéro de contrat (BT-12) DOIT être présent@@@- La période de facturation (BG-14) DOIT être présente	BR-FR-CO-04 : Codestypes documents@@@@@@Si le codetype de la facture (BT-3) est dans la liste suivante :@@@@@@Factures rectificatives :@@@- Facture rectificative (384)@@@- Facture rectificative auto-facturée (471) (*)@@@- Facture rectificative affacturée (472) (*)@@@- Facture rectificative auto-facturée affacturée (473)  (*)@@@@@@Alors UNE ET UNE SEULE Référence à une facture antérieure (BT-25) DOIT être présente, ainsi que sa Date (BT-26)|<RÉFÉRENCE À UNE FACTURE ANTÉRIEURE> <Référence à une facture antérieure>|20;35
Date d'émission de facture antérieure|BT-26|DATE||0..1|BR-FR-03 : Date entre 2000 et 2099@@@@@@L'année d'une date DOIT ETRE comprise entre 2000 et 2099	BR-FR-CO-03 : Codestypes documents@@@@@@Si le codetype de la facture (BT-3) est égal à 262 (Avoir Remise Globale), alors :@@@- Le numéro de contrat (BT-12) DOIT être présent@@@- La période de facturation (BG-14) DOIT être présente	BR-FR-CO-04 : Codestypes documents@@@@@@Si le codetype de la facture (BT-3) est dans la liste suivante :@@@@@@Factures rectificatives :@@@- Facture rectificative (384)@@@- Facture rectificative auto-facturée (471) (*)@@@- Facture rectificative affacturée (472) (*)@@@- Facture rectificative auto-facturée affacturée (473)  (*)@@@@@@Alors UNE ET UNE SEULE Référence à une facture antérieure (BT-25) DOIT être présente, ainsi que sa Date (BT-26)	BR-FR-CO-05 : Codestypes documents@@@@@@Si le codetype de la facture (BT-3) est dans la liste suivante :@@@@@@Avoirs :@@@- Avoir auto-facturé (261)@@@- Avoir (381)@@@- Avoir affacturé (396)@@@- Avoir auto-facturé affacturé (502) (*)@@@- Avoir de facture d'acompte (503) (*)@@@@@@Alors AU MOINS une Référence à une facture antérieure (BT-25) DOIT être présente ainsi que sa Date (BT-26) OU BIEN une Référence à une facture antérieure en ligne (EXT-FR-FE-136) DOIT être présente DANS CHAQUE ligne (BG-25), ainsi que sa date (EXT-FR-FE-138)|<RÉFÉRENCE À UNE FACTURE ANTÉRIEURE> <Date d'émission de facture antérieure>|ISO
Type de facture antérieure|EXT-FR-FE-02|CODE||0..1|BR-FR-04 : Codes types documents@@@@@@Les codes types de documents pour une facture sont les suivants:@@@Factures simples :@@@- Facture commerciale (380)@@@- Facture auto-facturée (389)@@@- Facture affacturée (393)@@@- Facture auto-facturée affacturée (501) (*)@@@@@@Factures d'acompte :@@@- Facture d'acompte (386)@@@- Facture d’acompte auto-facturée (500) (*)@@@@@@Factures rectificatives :@@@- Facture rectificative (384)@@@- Facture rectificative auto-facturée ( 471) (*)@@@- Facture rectificative affacturée (472) (*)@@@- Facture rectificative auto-facturée affacturée ( 473)  (*)@@@@@@Avoirs :@@@- Avoir auto-facturé (261)@@@- Avoir pour Remise Globale (262)@@@- Avoir (381)@@@- Avoir affacturé (396)@@@- Avoir auto-facturé affacturé (502) (*)@@@- Avoir de facture d'acompte (503) (*)@@@@@@Les autres types de factures définis dans la norme (UNTDID 1001) ne doivent pas être utilisés.@@@/!\ : (*) En attente de l'intégration des codes par la maintenance EN16931|<RÉFÉRENCE À UNE FACTURE ANTÉRIEURE> <Type de facture antérieure>|
VENDEUR|BG-4||X|1..1||<VENDEUR>|
Raison sociale du vendeur|BT-27|TEXTE|X|1..1||<VENDEUR> <Raison sociale du vendeur>|
Appellation commerciale du vendeur|BT-28|TEXTE||0..1||<VENDEUR> <Appellation commerciale du vendeur>|
Identifiant privé du vendeur|BT-29|IDENTIFIANT||0..n|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-09 : Cohérence SIRET SIREN@@@@@@Dans une Partie, si le SIRET est renseigné (ID Privé, 0009), Les 9 premiers chiffres du SIRET doivent correspondre au SIREN renseigné en ID légal (schemeID 0002) et le SIRET doit faire 14 chiffres	BR-FR-CO-13 : Assujetti Unique Vendeur@@@@@@S'il existe une occurrence de BT-29 avec un schéma d'identification BT-29-1 = 0231, alors le Vendeur est Membre d'un Assujetti Unique (AU), et le numéro de SIREN de l'Assujetti Unique en BT-29 avec le schéma d'identification (BT-29-1) = 0231 DOIT être présent dans l'Annuaire PPF|<VENDEUR> <Identifiant privé du vendeur>|
Identifiant du schéma|BT-29-1|IDENTIFIANT|X|1..1|BR-FR-CO-10 : ID privés des parties@@@@@@Lorsque les Identifiants privés des acteurs sont multiples (par exemple BT-29), ils doivent être qualifiés par un identifiant du schéma (BT-29-1), il ne peut y avoir 2 identifiants privés avec le même identifiant du schéma	BR-FR-CO-11 : ID privés des parties@@@@@@Les identifiants privés des parties permettent de fournir des identifiants spécifiques, qualifiés par l'identifiant du schema (codelist ICD). Ainsi :@@@- un SIRET (identifiant du schema = 0009)@@@- un CODE_ROUTAGE (identifiant du schema = 0224)@@@- Le SIREN de l'assujetti unique du Vendeur (identifiant du schema : 0231), uniquement en BT-29	BR-FR-09 : Cohérence SIRET SIREN@@@@@@Dans une Partie, si le SIRET est renseigné (ID Privé, 0009), Les 9 premiers chiffres du SIRET doivent correspondre au SIREN renseigné en ID légal (schemeID 0002) et le SIRET doit faire 14 chiffres	BR-FR-CO-14 : Assujetti Unique Vendeur@@@@@@S'il existe une occurrence de BT-29 avec un schéma d'identification BT-29-1 = 0231, alors le Vendeur est Membre d'un Assujetti Unique (AU), et un bloc BG-1 DOIT être présent avec pour Code sujet (BT-21) = "TXD" ET un texte de note (BT-22) = "MEMBRE_ASSUJETTI_UNIQUE".|<VENDEUR> <Identifiant privé du vendeur> <Identifiant du schéma>|
