campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
StabileOrganizzazione|1.2.3|FatturaPA field StabileOrganizzazione||0 ..1|||
Indirizzo|1.2.3.1|FatturaPA field Indirizzo|X|1 ..1|||
NumeroCivico|1.2.3.2|FatturaPA field NumeroCivico||0 ..1|||
CAP|1.2.3.3|FatturaPA field CAP|X|1 ..1|||
Comune|1.2.3.4|FatturaPA field Comune|X|1 ..1|||
Provincia|1.2.3.5|FatturaPA field Provincia||0 ..1|||
Nazione|1.2.3.6|FatturaPA field Nazione|X|1 ..1|||
IscrizioneREA|1.2.4|FatturaPA field IscrizioneREA||0 ..1|||
Ufficio|1.2.4.1|FatturaPA field Ufficio|X|1 ..1|||
NumeroREA|1.2.4.2|FatturaPA field NumeroREA|X|1 ..1|||
CapitaleSociale|1.2.4.3|FatturaPA field CapitaleSociale||0 ..1|||
SocioUnico|1.2.4.4|FatturaPA field SocioUnico||0 ..1|||
StatoLiquidazione|1.2.4.5|FatturaPA field StatoLiquidazione|X|1 ..1|||
Contatti|1.2.5|FatturaPA field Contatti||0 ..1|||
Telefono|1.2.5.1|FatturaPA field Telefono||0 ..1|||
Fax|1.2.5.2|FatturaPA field Fax||0 ..1|||
Email|1.2.5.3|FatturaPA field Email||0 ..1|||
RiferimentoAmministrazione|1.2.6|FatturaPA field RiferimentoAmministrazione||0 ..1|||
RappresentanteFiscale|1.3|FatturaPA field RappresentanteFiscale||0 ..1|||
DatiAnagrafici|1.3.1|FatturaPA field DatiAnagrafici|X|1 ..1|||
IdFiscaleIVA|1.3.1.1|FatturaPA field IdFiscaleIVA|X|1 ..1|||
IdPaese|1.3.1.1.1|FatturaPA field IdPaese|X|1 ..1|||
IdCodice|1.3.1.1.2|FatturaPA field IdCodice|X|1 ..1|||
CodiceFiscale|1.3.1.2|FatturaPA field CodiceFiscale||0 ..1|||
Anagrafica|1.3.1.3|FatturaPA field Anagrafica|X|1 ..1|||
Denominazione|1.3.1.3.1|FatturaPA field Denominazione||0 ..1|||
Nome|1.3.1.3.2|FatturaPA field Nome||0 ..1|||
Cognome|1.3.1.3.3|FatturaPA field Cognome||0 ..1|||
Titolo|1.3.1.3.4|FatturaPA field Titolo||0 ..1|||
CodEORI|1.3.1.3.5|FatturaPA field CodEORI||0 ..1|||
CessionarioCommittente|1.4|FatturaPA field CessionarioCommittente|X|1 ..1|||
DatiAnagrafici|1.4.1|FatturaPA field DatiAnagrafici|X|1 ..1|||
IdFiscaleIVA|1.4.1.1|FatturaPA field IdFiscaleIVA||0 ..1|||
IdPaese|1.4.1.1.1|FatturaPA field IdPaese|X|1 ..1|||
IdCodice|1.4.1.1.2|FatturaPA field IdCodice|X|1 ..1|||
CodiceFiscale|1.4.1.2|FatturaPA field CodiceFiscale||0 ..1|||
Anagrafica|1.4.1.3|FatturaPA field Anagrafica|X|1 ..1|||
Denominazione|1.4.1.3.1|FatturaPA field Denominazione||0 ..1|||
Nome|1.4.1.3.2|FatturaPA field Nome||0 ..1|||
Cognome|1.4.1.3.3|FatturaPA field Cognome||0 ..1|||
Titolo|1.4.1.3.4|FatturaPA field Titolo||0 ..1|||
CodEORI|1.4.1.3.5|FatturaPA field CodEORI||0 ..1|||
Sede|1.4.2|FatturaPA field Sede|X|1 ..1|||
Indirizzo|1.4.2.1|FatturaPA field Indirizzo|X|1 ..1|||
NumeroCivico|1.4.2.2|FatturaPA field NumeroCivico||0 ..1|||
CAP|1.4.2.3|FatturaPA field CAP|X|1 ..1|||
Comune|1.4.2.4|FatturaPA field Comune|X|1 ..1|||
Provincia|1.4.2.5|FatturaPA field Provincia||0 ..1|||
Nazione|1.4.2.6|FatturaPA field Nazione|X|1 ..1|||
StabileOrganizzazione|1.4.3|FatturaPA field StabileOrganizzazione||0 ..1|||
Indirizzo|1.4.3.1|FatturaPA field Indirizzo|X|1 ..1|||
NumeroCivico|1.4.3.2|FatturaPA field NumeroCivico||0 ..1|||
CAP|1.4.3.3|FatturaPA field CAP|X|1 ..1|||
Comune|1.4.3.4|FatturaPA field Comune|X|1 ..1|||
Provincia|1.4.3.5|FatturaPA field Provincia||0 ..1|||
Nazione|1.4.3.6|FatturaPA field Nazione|X|1 ..1|||
RappresentanteFiscale|1.4.4|FatturaPA field RappresentanteFiscale||0 ..1|||
IdFiscaleIVA|1.4.4.1|FatturaPA field IdFiscaleIVA|X|1 ..1|||
IdPaese|1.4.4.1.1|FatturaPA field IdPaese|X|1 ..1|||
IdCodice|1.4.4.1.2|FatturaPA field IdCodice|X|1 ..1|||
Denominazione|1.4.4.2|FatturaPA field Denominazione||0 ..1|||
Nome|1.4.4.3|FatturaPA field Nome||0 ..1|||
Cognome|1.4.4.4|FatturaPA field Cognome||0 ..1|||
TerzoIntermediarioOSoggettoEmittente|1.5|FatturaPA field TerzoIntermediarioOSoggettoEmittente||0 ..1|||
DatiAnagrafici|1.5.1|FatturaPA field DatiAnagrafici|X|1 ..1|||
IdFiscaleIVA|1.5.1.1|FatturaPA field IdFiscaleIVA||0 ..1|||
IdPaese|1.5.1.1.1|FatturaPA field IdPaese|X|1 ..1|||
IdCodice|1.5.1.1.2|FatturaPA field IdCodice|X|1 ..1|||
CodiceFiscale|1.5.1.2|FatturaPA field CodiceFiscale||0 ..1|||
Anagrafica|1.5.1.3|FatturaPA field Anagrafica|X|1 ..1|||
Denominazione|1.5.1.3.1|FatturaPA field Denominazione||0 ..1|||
Nome|1.5.1.3.2|FatturaPA field Nome||0 ..1|||
Cognome|1.5.1.3.3|FatturaPA field Cognome||0 ..1|||
Titolo|1.5.1.3.4|FatturaPA field Titolo||0 ..1|||
CodEORI|1.5.1.3.5|FatturaPA field CodEORI||0 ..1|||
SoggettoEmittente|1.6|FatturaPA field SoggettoEmittente||0 ..1|||
FatturaElettronicaBody|2|FatturaPA field FatturaElettronicaBody||1 ..n|||
DatiGenerali|2.1|FatturaPA field DatiGenerali|X|1 ..1|||
DatiGeneraliDocumento|2.1.1|FatturaPA field DatiGeneraliDocumento|X|1 ..1|||
TipoDocumento|2.1.1.1|FatturaPA field TipoDocumento|X|1 ..1|||
Divisa|2.1.1.2|FatturaPA field Divisa|X|1 ..1|||
Data|2.1.1.3|FatturaPA field Data|X|1 ..1|||
Numero|2.1.1.4|FatturaPA field Numero|X|1 ..1|||
DatiRitenuta|2.1.1.5|FatturaPA field DatiRitenuta||0 ..n|||
TipoRitenuta|2.1.1.5.1|FatturaPA field TipoRitenuta|X|1 ..1|||
ImportoRitenuta|2.1.1.5.2|FatturaPA field ImportoRitenuta|X|1 ..1|||
AliquotaRitenuta|2.1.1.5.3|FatturaPA field AliquotaRitenuta|X|1 ..1|||
CausalePagamento|2.1.1.5.4|FatturaPA field CausalePagamento|X|1 ..1|||
DatiBollo|2.1.1.6|FatturaPA field DatiBollo||0 ..1|||
BolloVirtuale|2.1.1.6.1|FatturaPA field BolloVirtuale|X|1 ..1|||
ImportoBollo|2.1.1.6.2|FatturaPA field ImportoBollo|X|1 ..1|||
DatiCassaPrevidenziale|2.1.1.7|FatturaPA field DatiCassaPrevidenziale||0 ..n|||
TipoCassa|2.1.1.7.1|FatturaPA field TipoCassa|X|1 ..1|||
AlCassa|2.1.1.7.2|FatturaPA field AlCassa|X|1 ..1|||
ImportoContributoCassa|2.1.1.7.3|FatturaPA field ImportoContributoCassa|X|1 ..1|||
ImponibileCassa|2.1.1.7.4|FatturaPA field ImponibileCassa||0 ..1|||
AliquotaIVA|2.1.1.7.5|FatturaPA field AliquotaIVA|X|1 ..1|||
Ritenuta|2.1.1.7.6|FatturaPA field Ritenuta||0 ..1|||
Natura|2.1.1.7.7|FatturaPA field Natura||0 ..1|||
RiferimentoAmministrazione|2.1.1.7.8|FatturaPA field RiferimentoAmministrazione||0 ..1|||
ScontoMaggiorazione|2.1.1.8|FatturaPA field ScontoMaggiorazione||0 ..n|||
Tipo|2.1.1.8.1|FatturaPA field Tipo|X|1 ..1|||
Percentuale|2.1.1.8.2|FatturaPA field Percentuale||0 ..1|||
Importo|2.1.1.8.3|FatturaPA field Importo||0 ..1|||
ImportoTotaleDocumento|2.1.1.9|FatturaPA field ImportoTotaleDocumento||0 ..1|||
Arrotondamento|2.1.1.10|FatturaPA field Arrotondamento||0 ..1|||
Causale|2.1.1.11|FatturaPA field Causale||0 ..n|||
Art73|2.1.1.12|FatturaPA field Art73||0 ..1|||
DatiOrdineAcquisto|2.1.2|FatturaPA field DatiOrdineAcquisto||0 ..n|||
RiferimentoNumeroLinea|2.1.2.1|FatturaPA field RiferimentoNumeroLinea||0 ..n|||
IdDocumento|2.1.2.2|FatturaPA field IdDocumento|X|1 ..1|||
Data|2.1.2.3|FatturaPA field Data||0 ..1|||
