campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath,level,segment_group,msg_pos,segment,segment_name,segment_status,segment_max_rep,component_pos,component_type,component,component_name,component_m_c,component_format,element_repr,element_name,code_list
ALI.4183,"Special conditions, coded","SPECIAL CONDITIONS, CODED (in segment ALI Additional information).",NO,5,,,,an..3,/EDIFACT/INVOIC/HEADER//ALI/4183,HEADER,,0050,ALI,Additional information,C,5,040,ELEMENT,4183,"SPECIAL CONDITIONS, CODED",C,an..3,an..3,"Special conditions, coded","A=Account | CA=Advance collect | CC=Collect | CF=Collect, freight credited to payment customer | DF=Defined by buyer and seller | FO=FOB port of call | IC=Information copy, no payment due | MX=Mixed | NC=Service freight, no charge | NS=Not specified | PA=Advance prepaid | PB=Customer pick-up/backhaul | PC=Prepaid but charged to customer | PE=Payable elsewhere | PO=Prepaid only | PP=Prepaid (by seller) | PU=Pickup | RC=Return container freight paid by customer | RF=Return container freight free | RS=Return container freight paid by supplier | TP=Third party pay | WC=Weight condition | ZZZ=Mutually defined"
ALI.4183,"Special conditions, coded","SPECIAL CONDITIONS, CODED (in segment ALI Additional information).",NO,5,,,,an..3,/EDIFACT/INVOIC/HEADER//ALI/4183,HEADER,,0050,ALI,Additional information,C,5,050,ELEMENT,4183,"SPECIAL CONDITIONS, CODED",C,an..3,an..3,"Special conditions, coded","A=Account | CA=Advance collect | CC=Collect | CF=Collect, freight credited to payment customer | DF=Defined by buyer and seller | FO=FOB port of call | IC=Information copy, no payment due | MX=Mixed | NC=Service freight, no charge | NS=Not specified | PA=Advance prepaid | PB=Customer pick-up/backhaul | PC=Prepaid but charged to customer | PE=Payable elsewhere | PO=Prepaid only | PP=Prepaid (by seller) | PU=Pickup | RC=Return container freight paid by customer | RF=Return container freight free | RS=Return container freight paid by supplier | TP=Third party pay | WC=Weight condition | ZZZ=Mutually defined"
ALI.4183,"Special conditions, coded","SPECIAL CONDITIONS, CODED (in segment ALI Additional information).",NO,5,,,,an..3,/EDIFACT/INVOIC/HEADER//ALI/4183,HEADER,,0050,ALI,Additional information,C,5,060,ELEMENT,4183,"SPECIAL CONDITIONS, CODED",C,an..3,an..3,"Special conditions, coded","A=Account | CA=Advance collect | CC=Collect | CF=Collect, freight credited to payment customer | DF=Defined by buyer and seller | FO=FOB port of call | IC=Information copy, no payment due | MX=Mixed | NC=Service freight, no charge | NS=Not specified | PA=Advance prepaid | PB=Customer pick-up/backhaul | PC=Prepaid but charged to customer | PE=Payable elsewhere | PO=Prepaid only | PP=Prepaid (by seller) | PU=Pickup | RC=Return container freight paid by customer | RF=Return container freight free | RS=Return container freight paid by supplier | TP=Third party pay | WC=Weight condition | ZZZ=Mutually defined"
ALI.4183,"Special conditions, coded","SPECIAL CONDITIONS, CODED (in segment ALI Additional information).",NO,5,,,,an..3,/EDIFACT/INVOIC/HEADER//ALI/4183,HEADER,,0050,ALI,Additional information,C,5,070,ELEMENT,4183,"SPECIAL CONDITIONS, CODED",C,an..3,an..3,"Special conditions, coded","A=Account | CA=Advance collect | CC=Collect | CF=Collect, freight credited to payment customer | DF=Defined by buyer and seller | FO=FOB port of call | IC=Information copy, no payment due | MX=Mixed | NC=Service freight, no charge | NS=Not specified | PA=Advance prepaid | PB=Customer pick-up/backhaul | PC=Prepaid but charged to customer | PE=Payable elsewhere | PO=Prepaid only | PP=Prepaid (by seller) | PU=Pickup | RC=Return container freight paid by customer | RF=Return container freight free | RS=Return container freight paid by supplier | TP=Third party pay | WC=Weight condition | ZZZ=Mutually defined"
IMD.7077,"Item description type, coded","ITEM DESCRIPTION TYPE, CODED (in segment IMD Item description).",NO,1,,,,an..3,/EDIFACT/INVOIC/HEADER//IMD/7077,HEADER,,0060,IMD,Item description,C,1,010,ELEMENT,7077,"ITEM DESCRIPTION TYPE, CODED",C,an..3,an..3,"Item description type, coded",B=Code and text | C=Code (from industry code list) | F=Free-form | S=Structured (from industry code list) | X=Semi-structured (code + text)
IMD.7081,"Item characteristic, coded","ITEM CHARACTERISTIC, CODED (in segment IMD Item description).",NO,1,,,,an..3,/EDIFACT/INVOIC/HEADER//IMD/7081,HEADER,,0060,IMD,Item description,C,1,020,ELEMENT,7081,"ITEM CHARACTERISTIC, CODED",C,an..3,an..3,"Item characteristic, coded",A=Added to the configuration | D=Deleted from the configuration | I=Included in the configuration
IMD.C273,IMD::C273 ITEM DESCRIPTION,Composite used in segment IMD (Item description).,NO,1,,,,,/EDIFACT/INVOIC/HEADER//IMD/C273,HEADER,,0060,IMD,Item description,C,1,030,COMPOSITE,C273,ITEM DESCRIPTION,C,,,,
IMD.7383,"Surface/layer indicator, coded","SURFACE/LAYER INDICATOR, CODED (in segment IMD Item description).",NO,1,,,,an..3,/EDIFACT/INVOIC/HEADER//IMD/7383,HEADER,,0060,IMD,Item description,C,1,040,ELEMENT,7383,"SURFACE/LAYER INDICATOR, CODED",C,an..3,an..3,"Surface/layer indicator, coded",
FTX.4451,Text subject qualifier,TEXT SUBJECT QUALIFIER (in segment FTX Free text).,SI,10,,,,an..3,/EDIFACT/INVOIC/HEADER//FTX/4451,HEADER,,0070,FTX,Free text,C,10,010,ELEMENT,4451,TEXT SUBJECT QUALIFIER,M,an..3,an..3,Text subject qualifier,"AAA=Goods description | AAB=Terms of payments | AAC=Dangerous goods additional information | AAD=Dangerous goods, technical name | AAE=Acknowledgement description | AAF=Rate additional information | AAG=Party instructions | AAH=Customs information | AAI=General information | AAJ=Additional conditions of sale/purchase | AAK=Price conditions | AAL=Goods dimensions in characters | AAM=Equipment re-usage restrictions | AAN=Handling restriction | AAO=Error description (free text) | AAP=Response (free text) | AAQ=Package content's description | AAR=Terms of delivery | AAS=Bill of lading remarks | AAT=Mode of settlement information | AAU=Consignment invoice information | AAV=Clearance invoice information | AAW=Letter of credit information | AAX=License information | AAY=Certification statements | AAZ=Additional export information | ABA=Tariff statements | ABC=Conditions of sale or purchase | ABD=Nature of transaction | ABE=Additional terms and/or conditions (documentary credit) | ABF=Instructions or information about standby documentary credit | ABG=Instructions or information about partial shipment(s) | ABH=Instructions or information about transhipment(s) | ABI=Additional handling instructions documentary credit | ABJ=Domestic routing information | ABK=Chargeable category of equipment | ABL=Government information | ABM=Onward routing information | ABN=Accounting information | ABO=Discrepancy information | ABP=Confirmation instructions | ABQ=Method of issuance | ABR=Documents delivery instructions | ABS=Additional conditions | ABT=Information/instructions about additional amounts covered | ABU=Deferred payment termed additional | ABV=Acceptance terms additional | ABW=Negotiation terms additional | ABX=Document name and documentary requirements | ABY=Regulatory information | ABZ=Instructions/information about revolving documentary credit | ACA=Documentary requirements | ACB=Additional information | ACC=Factor assignment clause | ACD=Reason | ACE=Dispute | ACF=Additional attribute information | ACG=Absence declaration | ACH=Aggregation statement | ACI=Compilation statement | ACJ=Definitional exception | ACK=Privacy statement | ACL=Quality statement | ACM=Statistical description | ACN=Statistical definition | ACO=Statistical name | ACP=Statistical title | ACQ=Off-dimension information | ACR=Unexpected stops information | ACS=Principles | ACT=Terms and definition | ACU=Segment name | ACV=Simple data element name | ACW=Scope | ACX=Message type name | ACY=Introduction | ACZ=Glossary | ADA=Functional definition | ADB=Examples | ADC=Cover page | ADE=Code value name | ADF=Code list name | ADG=Clarification of usage | ADH=Composite data element name | ADI=Field of application | ALC=Allowance/charge information | ALL=All documents | ARR=Arrival conditions | AUT=Authentication | BLC=Bill of lading clause | BLR=Transport document remarks | CCI=Customs clearance instructions | CEX=Customs clearance instructions export | CHG=Change information | CIP=Customs clearance instruction import | CLP=Clearance place requested | CLR=Loading remarks | COI=Order information | CUR=Customer remarks | CUS=Customs declaration information | DAR=Damage remarks | DCL=Declaration | DEL=Delivery information | DIN=Delivery instructions | DOC=Documentation instructions | DUT=Duty declaration | EUR=Effective used routing | FBC=First block to be printed on the transport contract | GBL=Government bill of lading information | GEN=Entire transaction set | GS7=Further information concerning GGVS par. 7 | HAN=Handling instructions | HAZ=Hazard information | ICN=Information for consignee | IIN=Insurance instructions | IMI=Invoice mailing instructions | IND=Commercial invoice item description | INS=Insurance information | INV=Invoice instruction | IRP=Information for railway purpose | ITR=Inland transport details | ITS=Testing instructions | LIN=Line item | LOI=Loading instruction | MCO=Miscellaneous charge order | MKS=Additional marks/numbers information | ORI=Order instruction | OSI=Other service information | PAC=Packing/marking information | PAI=Payment instructions information | PAY=Payables information | PKG=Packaging information | PKT=Packaging terms information | PMD=Payment detail/remittance information | PMT=Payment information | PRD=Product information | PRF=Price calculation formula | PRI=Priority information | PUR=Purchasing information | QIN=Quarantine instructions | QQD=Quality demands/requirements | QUT=Quotation instruction/information | RAH=Risk and handling information | REG=Regulatory information | RET=Return to origin information | REV=Receivables | RQR=Requested routes/routing instructions | RQT=Tariffs and route requested | SAF=Safety information | SIC=Sender's instruction to carrier | SIN=Special instructions | SLR=Ship line requested | SPA=Special permission for transport, generally | SPG=Special permission concerning the goods to be transported | SPH=Special handling | SPP=Special permission concerning package | SPT=Special permission concerning transport means | SRN=Subsidiary risk number (IATA/DGR) | SSR=Special service request | SUR=Supplier remarks | TCA=Tariff and class applied | TDT=Transport details remarks | TRA=Transportation information | TRR=Requested tariff | TXD=Tax declaration | WHI=Warehouse instruction/information | ZZZ=Mutually defined | B=Back order only if new item (book industry - not yet | F=Factory ship | N=No back order | W=Warehouse ship | Y=Back order if out of stock | BK=Ship partial - balance back order | CD=Cancel if not delivered by date | DA=Do not deliver after | DB=Do not deliver before | DD=Deliver on date | IS=Substitute item | P1=No schedule established | P2=Ship as soon as possible | SC=Ship complete order | SF=Ship partial, if no freight rate increase | SP=Ship partial - balance cancel"
FTX.4453,"Text function, coded","TEXT FUNCTION, CODED (in segment FTX Free text).",NO,10,,,,an..3,/EDIFACT/INVOIC/HEADER//FTX/4453,HEADER,,0070,FTX,Free text,C,10,020,ELEMENT,4453,"TEXT FUNCTION, CODED",C,an..3,an..3,"Text function, coded",
FTX.C107,FTX::C107 TEXT REFERENCE,Composite used in segment FTX (Free text).,NO,10,,,,,/EDIFACT/INVOIC/HEADER//FTX/C107,HEADER,,0070,FTX,Free text,C,10,030,COMPOSITE,C107,TEXT REFERENCE,C,,,,
FTX.C108,FTX::C108 TEXT LITERAL,Composite used in segment FTX (Free text).,NO,10,,,,,/EDIFACT/INVOIC/HEADER//FTX/C108,HEADER,,0070,FTX,Free text,C,10,040,COMPOSITE,C108,TEXT LITERAL,C,,,,
FTX.3453,"Language, coded","LANGUAGE, CODED (in segment FTX Free text).",NO,10,,,,an..3,/EDIFACT/INVOIC/HEADER//FTX/3453,HEADER,,0070,FTX,Free text,C,10,050,ELEMENT,3453,"LANGUAGE, CODED",C,an..3,an..3,"Language, coded",
RFF.C506,RFF::C506 REFERENCE,Composite used in segment RFF (Reference).,SI,1,,,,,/EDIFACT/INVOIC/HEADER/SG1/RFF/C506,HEADER,SG1,0090,RFF,Reference,M,1,010,COMPOSITE,C506,REFERENCE,M,,,,
DTM.C507,DTM::C507 DATE/TIME/PERIOD,Composite used in segment DTM (Date/time/period).,SI,5,,,,,/EDIFACT/INVOIC/HEADER/SG1/DTM/C507,HEADER,SG1,0100,DTM,Date/time/period,C,5,010,COMPOSITE,C507,DATE/TIME/PERIOD,M,,,,
NAD.3035,Party qualifier,PARTY QUALIFIER (in segment NAD Name and address).,SI,1,,,,an..3,/EDIFACT/INVOIC/HEADER/SG2/NAD/3035,HEADER,SG2,0120,NAD,Name and address,M,1,010,ELEMENT,3035,PARTY QUALIFIER,M,an..3,an..3,Party qualifier,"AA=Party to be billed (AAR Accounting rule 11) | AB=Buyer's agent/representative | AE=Declarant's agent/representative | AF=Transit principal | AG=Agent/representative | AH=Transit principal's agent/representative | AI=Successful job applicant | AK=Acknowledgement recipient | AL=Principal | AM=Authorized official | AN=Approved importer | AO=Account of | AP=Accepting party | AQ=Approved consignor | AR=Authorized exporter | AT=Authorized importer | AU=Authorized trader (transit) | AV=Authorizing official | AW=Applicant's bank | AX=Authenticating party | AZ=Issuing bank | B1=Contact bank 1 | B2=Contact bank 2 | BA=Booking agent | BB=Buyer's bank | BC=Negotiating bank | BD=Documentary credit reimbursing bank | BE=Beneficiary | BF=Beneficiary's bank | BG=Employer | BH=Previous employer | BI=Buyer's financial institution | BK=Financial institution | BL=Bill of lading recipient | BM=Insured | BN=Insurance beneficiary | BO=Broker or sales office | BP=Building site purchaser | BQ=Cheque drawn bank | BS=Bill and ship to | BT=Party to be billed for other than freight (bill to) | BU=Service bureau | BV=Member | BW=Borrower | BX=Building site engineer | BY=Buyer | BZ=Building site forwarder | C1=In care of party no. 1 | C2=In care of party no. 2 | CA=Carrier | CB=Customs broker | CC=Claimant | CD=Agent's bank | CE=Ceding company | CF=Container operator/lessee | CG=Carrier's agent | CH=Connecting carrier | CI=Commission processor | CJ=Previous member | CK=Empty equipment despatch party | CL=Container location party | CM=Customs | CN=Consignee | CO=Corporate office | COP=Convoying party | CP=Party to receive certificate of compliance | CPD=Charges payer at destination | CQ=Cheque order | CR=Empty equipment return party | CS=Consolidator | CT=Consignee to be specified | CU=Container return company | CV=Consignee of vessel | CW=Equipment owner | CX=Consignee's agent | CY=Commissionable agent | CZ=Consignor | DA=Available with bank (documentary credits) | DB=Distributor branch | DC=Deconsolidator | DCP=Despatch charge payer | DD=Documentary credit account party's bank | DE=Depositor | DF=Documentary credit applicant | DG=Documentary credit beneficiary | DH=Documentary credit account party | DI=Documentary credit second beneficiary | DJ=Party according to documentary credit transaction | DK=Documentary credit beneficiary's bank | DL=Factor | DM=Party to whom documents are to be presented | DN=Owner of operation | DO=Document recipient | DP=Delivery party | DQ=Owner's agent | DR=Driver | DS=Distributor | DT=Declarant | DU=Owner's representative | DV=Project management office | DW=Drawee | DX=Engineer (construction) | DY=Engineer, resident (construction) | DZ=Architect | EA=Architect-designer | EB=Building inspectorate | EC=Exchanger | ED=Engineer, consultant | EE=Location of goods for customs examination before clearance | EF=Project coordination office | EG=Surveyor, topographical | EH=Engineer, measurement | EI=Controller, quality | EJ=Surveyor, quantity | EK=Surveyor (professional), quantity | EL=Project | EM=Party to receive electronic memo of invoice | EN=Tenderer | EO=Owner of equipment | EP=Equipment drop-off party | EQ=Empty container responsible party | ER=Empty container return agent | ES=Contractor, lead | ET=Co-contractor | EU=Contractor, general | EV=Subcontractor | EW=Subcontractor with direct payment | EX=Exporter | EY=Subcontractor, nominated | EZ=Operator, essential services | FA=Operator, communication channel | FB=Nominated freight company | FC=Contractor, main | FD=Buyer's parent company | FE=Credit rating agency | FF=Factor, correspondent | FG=Buyer as officially registered | FH=Seller as officially registered | FJ=Trade Union | FK=Previous Trade Union | FL=Passenger | FM=Crew member | FN=Tariff issuer | FO=Party performing inspection | FP=Freight/charges payer | FR=Message from | FT=Party responsible for financial settlement | FW=Freight forwarder | FX=Current receiver | FY=Current sender | FZ=Grouping centre | GA=Road carrier | GB=Chamber of commerce | GC=Goods custodian | GD=Producer | GE=Registration tribunal | GF=Slot charter party | GG=Warehouse | GH=Applicant for job | GI=Spouse | GJ=Mother | GK=Father | GL=Socially insured person | GM=Inventory controller | GN=Processor | GO=Goods owner | GP=Packer | GQ=Slaughterer | GR=Goods releaser | GS=Consignor's representative | GT=Rail carrier | I1=Intermediary bank 1 | I2=Intermediary bank 2 | IB=Intermediary/broker | IC=Intermediate consignee | II=Issuer of invoice | IM=Importer | IN=Insurer | IO=Insurance company | IP=Insurance claim adjuster | IS=Party to receive certified inspection report | IT=Installation on site | IV=Invoicee | LA=Party designated to provide living animal care | LN=Lender | LP=Loading party | MA=Party for whom item is ultimately intended | MF=Manufacturer of goods | MG=Party designated to execute re-icing | MI=Planning schedule/material release issuer | MP=Manufacturing plant | MR=Message recipient | MS=Document/message issuer/sender | MT=Party designated to execute sanitary procedures | N1=Notify party no. 1 | N2=Notify party no. 2 | NI=Notify party | OA=Break bulk berth operator | OB=Ordered by | OF=On behalf of | OI=Outside inspection agency | OO=Order of shipper | OP=Operator of property or unit | OR=Ordered bank | OS=Original shipper | OT=Outside test agency | OV=Owner of means of transport | OY=Ordering customer | P1=Contact party 1 | P2=Contact party 2 | P3=Contact party 3 | P4=Contact party 4 | PA=Party to receive inspection report | PB=Paying financial institution | PC=Actual purchaser's customer | PD=Purchaser's department buyer | PE=Payee | PF=Party to receive freight bill | PG=Prime contractor | PH=Payer's financial institution | PI=Payee's company name/ID | PJ=Party to receive correspondence | PK=Contact party | PL=Payor | PM=Party to receive paper memo of invoice | PN=Party to receive shipping notice | PO=Ordering party | PQ=Certifying party | PR=Payer | PS=Payer's company name/ID (Check, Draft or Wire) | PT=Party to receive test report | PW=Despatch party | PX=Party to receive all documents | PY=Checking party | PZ=Party to print some document | RA=Central bank or regulatory authority | RB=Receiving financial institution | RE=Party to receive commercial invoice remittance | RF=Received from | RH=Seller's financial institution | RI=Reinsurance intermediary/broker | RL=Reporting carrier (Customs) | RM=Reporting carrier's nominated agent/representative (Customs) | RP=Routing party | RS=Party to receive statement of account | RV=Receiver of cheque | RW=Issuer of waybill | SB=Sales responsibility | SE=Seller | SF=Ship from | SG=Store group | SI=Shipping schedule issuer | SK=Plant | SN=Store keeper | SO=Sold to if different than bill to | SR=Seller's agent/representative | SS=Social securities collector's office | ST=Ship to | SU=Supplier | SX=Surety for additions | SY=Surety | SZ=Surety for antidumping/countervailing duty | TC=Tax collector's office | TCP=Transit charge payer | TD=Party to receive technical documentation | TR=Terminal operator | TS=Party to receive certified test results | TT=Transfer to | UC=Ultimate consignee | UD=Ultimate customer | UHP=Unexpected handling party | UP=Unloading party | VN=Vendor | WD=Warehouse depositor | WH=Warehouse keeper | WM=Works manager | WPA=Weighting party | WS=Wholesaler | XX=No heading | ZZZ=Mutually defined"
NAD.C082,NAD::C082 PARTY IDENTIFICATION DETAILS,Composite used in segment NAD (Name and address).,NO,1,,,,,/EDIFACT/INVOIC/HEADER/SG2/NAD/C082,HEADER,SG2,0120,NAD,Name and address,M,1,020,COMPOSITE,C082,PARTY IDENTIFICATION DETAILS,C,,,,
NAD.C058,NAD::C058 NAME AND ADDRESS,Composite used in segment NAD (Name and address).,NO,1,,,,,/EDIFACT/INVOIC/HEADER/SG2/NAD/C058,HEADER,SG2,0120,NAD,Name and address,M,1,030,COMPOSITE,C058,NAME AND ADDRESS,C,,,,
NAD.C080,NAD::C080 PARTY NAME,Composite used in segment NAD (Name and address).,NO,1,,,,,/EDIFACT/INVOIC/HEADER/SG2/NAD/C080,HEADER,SG2,0120,NAD,Name and address,M,1,040,COMPOSITE,C080,PARTY NAME,C,,,,
NAD.C059,NAD::C059 STREET,Composite used in segment NAD (Name and address).,NO,1,,,,,/EDIFACT/INVOIC/HEADER/SG2/NAD/C059,HEADER,SG2,0120,NAD,Name and address,M,1,050,COMPOSITE,C059,STREET,C,,,,
NAD.3164,City name,CITY NAME (in segment NAD Name and address).,NO,1,,,,an..35,/EDIFACT/INVOIC/HEADER/SG2/NAD/3164,HEADER,SG2,0120,NAD,Name and address,M,1,060,ELEMENT,3164,CITY NAME,C,an..35,an..35,City name,
NAD.3229,Country sub-entity identification,COUNTRY SUB-ENTITY IDENTIFICATION (in segment NAD Name and address).,NO,1,,,,an..9,/EDIFACT/INVOIC/HEADER/SG2/NAD/3229,HEADER,SG2,0120,NAD,Name and address,M,1,070,ELEMENT,3229,COUNTRY SUB-ENTITY IDENTIFICATION,C,an..9,an..9,Country sub-entity identification,
NAD.3251,Postcode identification,POSTCODE IDENTIFICATION (in segment NAD Name and address).,NO,1,,,,an..9,/EDIFACT/INVOIC/HEADER/SG2/NAD/3251,HEADER,SG2,0120,NAD,Name and address,M,1,080,ELEMENT,3251,POSTCODE IDENTIFICATION,C,an..9,an..9,Postcode identification,
NAD.3207,"Country, coded","COUNTRY, CODED (in segment NAD Name and address).",NO,1,,,,an..3,/EDIFACT/INVOIC/HEADER/SG2/NAD/3207,HEADER,SG2,0120,NAD,Name and address,M,1,090,ELEMENT,3207,"COUNTRY, CODED",C,an..3,an..3,"Country, coded",
LOC.3227,Place/location qualifier,PLACE/LOCATION QUALIFIER (in segment LOC Place/location identification).,SI,25,,,,an..3,/EDIFACT/INVOIC/HEADER/SG2/LOC/3227,HEADER,SG2,0130,LOC,Place/location identification,C,25,010,ELEMENT,3227,PLACE/LOCATION QUALIFIER,M,an..3,an..3,Place/location qualifier,ZZZ=Mutually defined | DO=Domestic | DR=Domestic with regulatory information required | EA=Economic area | IN=International | IR=International with regulatory information required
LOC.C517,LOC::C517 LOCATION IDENTIFICATION,Composite used in segment LOC (Place/location identification).,NO,25,,,,,/EDIFACT/INVOIC/HEADER/SG2/LOC/C517,HEADER,SG2,0130,LOC,Place/location identification,C,25,020,COMPOSITE,C517,LOCATION IDENTIFICATION,C,,,,
LOC.C519,LOC::C519 RELATED LOCATION ONE IDENTIFICATION,Composite used in segment LOC (Place/location identification).,NO,25,,,,,/EDIFACT/INVOIC/HEADER/SG2/LOC/C519,HEADER,SG2,0130,LOC,Place/location identification,C,25,030,COMPOSITE,C519,RELATED LOCATION ONE IDENTIFICATION,C,,,,
LOC.C553,LOC::C553 RELATED LOCATION TWO IDENTIFICATION,Composite used in segment LOC (Place/location identification).,NO,25,,,,,/EDIFACT/INVOIC/HEADER/SG2/LOC/C553,HEADER,SG2,0130,LOC,Place/location identification,C,25,040,COMPOSITE,C553,RELATED LOCATION TWO IDENTIFICATION,C,,,,
LOC.5479,"Relation, coded","RELATION, CODED (in segment LOC Place/location identification).",NO,25,,,,n..10,/EDIFACT/INVOIC/HEADER/SG2/LOC/5479,HEADER,SG2,0130,LOC,Place/location identification,C,25,050,ELEMENT,5479,"RELATION, CODED",C,an..3,n..10,"Relation, coded",
